C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gymnasium\envs\registration.py:523: DeprecationWarning: [33mWARN: The environment MiniGrid-Dynamic-Obstacles-Random-10x10-v0 is out of date. You should consider upgrading to version `v2`.
  logger.deprecation(
C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gymnasium\wrappers\record_video.py:87: UserWarning: [33mWARN: Overwriting existing videos at D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)
  logger.warn(
D:\Masters\Projects\thesis\cognitive-PPO\playground_gridworld_appraisal.py:359: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  next_appraisal = torch.tensor(agent.get_appraisal(next_obs))
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4
GS 30720 | R 0.998 | lr 6.974e-04 | vL 0.036 | pL -0.032 | E 0.955 | KL 0.014 | cF 0.122 | eVar 0.180 | aL -0.481 | SPS 101
GS 31232 | R 0.989 | lr 6.923e-04 | vL 0.029 | pL -0.023 | E 0.960 | KL 0.008 | cF 0.137 | eVar 0.389 | aL -0.465 | SPS 100
GS 31744 | R -1.000 | lr 6.872e-04 | vL 0.007 | pL -0.033 | E 0.994 | KL 0.009 | cF 0.033 | eVar -0.008 | aL -0.476 | SPS 100
GS 32256 | R 0.996 | lr 6.821e-04 | vL 0.034 | pL -0.002 | E 1.016 | KL 0.012 | cF 0.093 | eVar 0.354 | aL -0.472 | SPS 100
GS 32768 | R -1.000 | lr 6.769e-04 | vL 0.066 | pL -0.033 | E 0.999 | KL 0.011 | cF 0.035 | eVar 0.143 | aL -0.473 | SPS 100
GS 33280 | R -1.000 | lr 6.718e-04 | vL 0.030 | pL -0.021 | E 1.055 | KL 0.013 | cF 0.108 | eVar 0.139 | aL -0.440 | SPS 100
GS 33792 | R -1.000 | lr 6.667e-04 | vL 0.041 | pL -0.051 | E 1.034 | KL 0.007 | cF 0.076 | eVar 0.161 | aL -0.444 | SPS 100
GS 34304 | R 0.998 | lr 6.615e-04 | vL 0.049 | pL -0.037 | E 1.040 | KL 0.007 | cF 0.035 | eVar 0.241 | aL -0.438 | SPS 100
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-200.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-200.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-200.mp4
GS 34816 | R 0.999 | lr 6.564e-04 | vL 0.058 | pL -0.043 | E 1.016 | KL 0.009 | cF 0.076 | eVar 0.393 | aL -0.460 | SPS 100
GS 35328 | R -1.000 | lr 6.513e-04 | vL 0.051 | pL -0.034 | E 1.021 | KL 0.009 | cF 0.121 | eVar 0.165 | aL -0.460 | SPS 100
GS 35840 | R -1.000 | lr 6.462e-04 | vL 0.033 | pL -0.013 | E 1.015 | KL 0.010 | cF 0.099 | eVar 0.179 | aL -0.470 | SPS 100
GS 36352 | R -1.000 | lr 6.410e-04 | vL 0.024 | pL -0.020 | E 1.032 | KL 0.014 | cF 0.067 | eVar 0.136 | aL -0.471 | SPS 100
GS 36864 | R 0.998 | lr 6.359e-04 | vL 0.026 | pL -0.034 | E 1.023 | KL 0.007 | cF 0.012 | eVar 0.355 | aL -0.468 | SPS 100
GS 37376 | R 0.996 | lr 6.308e-04 | vL 0.055 | pL -0.027 | E 1.004 | KL 0.006 | cF 0.039 | eVar 0.391 | aL -0.477 | SPS 100
GS 37888 | R -1.000 | lr 6.256e-04 | vL 0.023 | pL -0.027 | E 0.997 | KL 0.010 | cF 0.087 | eVar -0.220 | aL -0.443 | SPS 100
GS 38400 | R -1.000 | lr 6.205e-04 | vL 0.049 | pL -0.038 | E 1.011 | KL 0.006 | cF 0.076 | eVar 0.258 | aL -0.461 | SPS 100
GS 38912 | R 0.999 | lr 6.154e-04 | vL 0.034 | pL -0.008 | E 0.987 | KL 0.004 | cF 0.019 | eVar 0.490 | aL -0.472 | SPS 99
GS 39424 | R -1.000 | lr 6.103e-04 | vL 0.036 | pL -0.011 | E 1.020 | KL 0.012 | cF 0.118 | eVar 0.053 | aL -0.434 | SPS 97
GS 39936 | R 0.994 | lr 6.051e-04 | vL 0.057 | pL -0.015 | E 1.010 | KL 0.004 | cF 0.033 | eVar 0.203 | aL -0.457 | SPS 96
GS 40448 | R -1.000 | lr 6.000e-04 | vL 0.041 | pL -0.031 | E 1.017 | KL 0.005 | cF 0.005 | eVar -0.103 | aL -0.452 | SPS 95
GS 40960 | R -1.000 | lr 5.949e-04 | vL 0.046 | pL -0.030 | E 1.016 | KL 0.005 | cF 0.029 | eVar 0.311 | aL -0.465 | SPS 96
GS 41472 | R -1.000 | lr 5.897e-04 | vL 0.028 | pL -0.012 | E 1.030 | KL 0.007 | cF 0.069 | eVar 0.047 | aL -0.458 | SPS 95
GS 41984 | R -1.000 | lr 5.846e-04 | vL 0.039 | pL -0.030 | E 1.015 | KL 0.007 | cF 0.100 | eVar 0.357 | aL -0.464 | SPS 96
GS 42496 | R -1.000 | lr 5.795e-04 | vL 0.054 | pL -0.009 | E 1.041 | KL 0.002 | cF 0.009 | eVar 0.351 | aL -0.468 | SPS 96
GS 43008 | R -1.000 | lr 5.744e-04 | vL 0.015 | pL -0.035 | E 1.010 | KL 0.006 | cF 0.013 | eVar -0.057 | aL -0.436 | SPS 96
GS 43520 | R 0.986 | lr 5.692e-04 | vL 0.009 | pL 0.000 | E 1.024 | KL 0.007 | cF 0.089 | eVar 0.364 | aL -0.435 | SPS 96
GS 44032 | R -1.000 | lr 5.641e-04 | vL 0.064 | pL -0.018 | E 1.003 | KL 0.006 | cF 0.023 | eVar 0.169 | aL -0.467 | SPS 96
GS 44544 | R -1.000 | lr 5.590e-04 | vL 0.029 | pL -0.019 | E 1.010 | KL 0.004 | cF 0.013 | eVar 0.095 | aL -0.491 | SPS 96
