C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
global_step=272, episodic_return=0.760937511920929
SPS:  115
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
global_step=24876, episodic_return=0.0
global_step=25000, episodic_return=0.0
SPS:  347
global_step=25224, episodic_return=0.0
global_step=25268, episodic_return=0.0
SPS:  349
global_step=25900, episodic_return=0.0
global_step=25960, episodic_return=0.39179688692092896
global_step=26024, episodic_return=0.0
SPS:  350
global_step=26248, episodic_return=0.0
SPS:  349
global_step=26680, episodic_return=0.620312511920929
global_step=26924, episodic_return=0.0
global_step=26984, episodic_return=0.0
global_step=27048, episodic_return=0.0
SPS:  349
SPS:  350
global_step=27704, episodic_return=0.0
global_step=27948, episodic_return=0.0
global_step=28008, episodic_return=0.0
global_step=28072, episodic_return=0.0
SPS:  349
SPS:  349
global_step=28728, episodic_return=0.0
global_step=28972, episodic_return=0.0
global_step=29032, episodic_return=0.0
global_step=29096, episodic_return=0.0
SPS:  347
SPS:  347
global_step=29752, episodic_return=0.10000000149011612
global_step=29872, episodic_return=0.3179687559604645
global_step=29996, episodic_return=0.0
global_step=30056, episodic_return=0.0
global_step=30208, episodic_return=0.866406261920929
SPS:  346
SPS:  346
global_step=30896, episodic_return=0.0
global_step=31020, episodic_return=0.0
global_step=31232, episodic_return=0.0
SPS:  346
SPS:  346
global_step=31920, episodic_return=0.0
global_step=31940, episodic_return=0.37773436307907104
global_step=32044, episodic_return=0.0
global_step=32256, episodic_return=0.0
SPS:  345
global_step=32424, episodic_return=0.5746093988418579
SPS:  344
global_step=32944, episodic_return=0.0
global_step=33068, episodic_return=0.0
global_step=33092, episodic_return=0.2652343809604645
SPS:  343
global_step=33448, episodic_return=0.0
global_step=33752, episodic_return=0.3988281190395355
SPS:  338
global_step=33968, episodic_return=0.0
global_step=34116, episodic_return=0.0
SPS:  336
global_step=34472, episodic_return=0.0
global_step=34776, episodic_return=0.0
SPS:  333
global_step=34992, episodic_return=0.0
global_step=35140, episodic_return=0.0
SPS:  333
global_step=35496, episodic_return=0.0
global_step=35800, episodic_return=0.0
SPS:  334
global_step=36016, episodic_return=0.0
global_step=36164, episodic_return=0.0
SPS:  334
global_step=36520, episodic_return=0.0
global_step=36824, episodic_return=0.0
SPS:  335
global_step=37024, episodic_return=0.82421875
global_step=37040, episodic_return=0.0
global_step=37188, episodic_return=0.0
global_step=37252, episodic_return=0.813671886920929
SPS:  336
global_step=37472, episodic_return=0.16328124701976776
global_step=37552, episodic_return=0.6800781488418579
SPS:  335
global_step=38048, episodic_return=0.0
global_step=38276, episodic_return=0.0
SPS:  336
global_step=38496, episodic_return=0.0
global_step=38576, episodic_return=0.0
SPS:  336
global_step=39072, episodic_return=0.0
global_step=39104, episodic_return=0.535937488079071
global_step=39300, episodic_return=0.0
SPS:  337
global_step=39520, episodic_return=0.0
SPS:  338
global_step=40096, episodic_return=0.0
global_step=40128, episodic_return=0.0
global_step=40324, episodic_return=0.0
SPS:  338
global_step=40544, episodic_return=0.0
global_step=40848, episodic_return=0.3671875
SPS:  339
global_step=40988, episodic_return=0.21601562201976776
global_step=41348, episodic_return=0.0
