C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=36180, episodic_return=0.0
SPS:  326
global_step=36548, episodic_return=0.0
global_step=36584, episodic_return=0.0
global_step=36676, episodic_return=0.0
SPS:  327
global_step=37204, episodic_return=0.0
SPS:  327
global_step=37572, episodic_return=0.0
global_step=37608, episodic_return=0.0
global_step=37700, episodic_return=0.0
SPS:  327
global_step=38228, episodic_return=0.0
SPS:  327
global_step=38596, episodic_return=0.0
global_step=38632, episodic_return=0.0
global_step=38724, episodic_return=0.0
SPS:  327
global_step=39252, episodic_return=0.0
SPS:  327
global_step=39620, episodic_return=0.0
global_step=39656, episodic_return=0.0
global_step=39748, episodic_return=0.0
SPS:  328
global_step=40276, episodic_return=0.0
SPS:  328
global_step=40644, episodic_return=0.0
global_step=40680, episodic_return=0.0
global_step=40772, episodic_return=0.0
SPS:  328
global_step=41300, episodic_return=0.0
SPS:  328
global_step=41668, episodic_return=0.0
global_step=41704, episodic_return=0.0
global_step=41796, episodic_return=0.0
SPS:  327
global_step=42324, episodic_return=0.0
SPS:  327
global_step=42692, episodic_return=0.0
global_step=42728, episodic_return=0.0
global_step=42820, episodic_return=0.0
SPS:  328
global_step=43348, episodic_return=0.0
SPS:  329
global_step=43716, episodic_return=0.0
global_step=43752, episodic_return=0.0
global_step=43844, episodic_return=0.0
SPS:  329
global_step=44372, episodic_return=0.0
SPS:  328
