,0,1,2,3,4,5
29,0.0,0.36101866,0.42505014,0.0,0.60008,0.8925245
30,0.0,0.2677424,0.434931,0.0,1.0,0.9045868
31,0.0,0.26354313,0.46331465,0.0,1.0,0.8974971
32,0.0,0.6065956,0.18075067,0.4586097,0.00019996,0.9496453
33,0.6666666,0.8989171,0.0001021317,0.41277978,0.40012,0.93750185
34,0.5833334,0.86438996,0.0034189192,0.34346783,0.20015997,0.9278674
35,0.5,0.8761627,0.00088659197,0.0,0.40012,0.89755535
36,0.0,0.7677159,0.10707317,0.41277978,0.20015997,0.9271141
37,0.5833334,0.8754652,0.0004703922,0.41277978,0.20015997,0.9421517
38,0.5833334,0.89098006,8.210717e-05,0.7063899,0.60008,0.9659518
39,0.8333333,0.8169996,0.0046850415,0.7373871,0.60008,0.9700617
40,0.9166667,0.7690733,0.041631095,0.5847726,0.60008,0.9596648
41,0.75,0.7853986,0.031093754,0.7373871,0.60008,0.9994749
42,0.9166667,0.8654764,0.0005843238,0.81430465,0.40012,0.9820978
43,0.9166667,0.7631094,0.024333827,0.6286093,0.60008,0.96682864
44,0.75,0.60587126,0.36924416,0.81430465,0.40012,0.9816662
45,0.9166667,0.86037195,0.00077820866,0.7063899,0.40012,0.9851831
46,0.8333333,0.5674603,0.2237109,0.8686936,0.40012,0.9861989
47,1.0,0.83894926,0.004900387,0.8686936,0.60008,0.9934403
48,1.0,0.8587804,0.0005367367,0.8686936,0.60008,0.9934979
49,1.0,0.86712337,0.00026846447,0.81430465,0.20015997,0.9696757
50,0.9166667,0.81159836,0.005644491,0.7063899,0.40012,0.9554659
51,0.8333333,0.7890983,0.086209275,0.5847726,0.40012,0.9624423
52,0.75,0.83831066,0.0024907268,0.6060807,0.80004,0.973889
53,0.8333333,0.86374706,0.0034950413,0.7063899,0.80004,0.9986628
54,0.8333333,0.8148407,0.006482505,0.8686936,0.80004,0.9819976
55,1.0,0.68120176,0.27268118,0.0,0.80004,0.9009687
56,0.0,0.6018846,0.18371673,0.0,0.80004,0.889777
57,0.0,0.5893099,0.17898974,0.0,0.80004,0.8901784
58,0.0,0.7601486,0.058206603,0.0,0.60008,0.8982858
59,0.0,0.6070687,0.2673609,0.29289323,0.40012,0.9229697
60,0.5,0.87716556,0.00030273647,0.34346783,0.60008,0.93141145
61,0.5,0.8619963,0.00040507957,0.34346783,0.60008,0.9373506
62,0.5,0.84229565,0.0015028549,0.41277978,0.80004,0.93151885
63,0.5833334,0.8437516,0.0012692264,0.44291398,0.80004,0.93917334
64,0.5833334,0.75838536,0.107482255,0.0,0.80004,0.8965135
65,0.0,0.037974656,0.514055,0.5847726,1.0,0.9649273
66,0.75,0.7753373,0.06413794,0.47477427,0.60008,0.9515441
67,0.75,0.79748124,0.02234986,0.47477427,0.40012,0.9649354
68,0.75,0.8443344,0.0027590094,0.7063899,0.60008,0.96052676
69,0.8333333,0.59263325,0.41086152,0.6060807,0.80004,0.9541148
70,0.8333333,0.84295774,0.0015455126,0.5847726,0.60008,0.98143333
71,0.75,0.6401617,0.15899739,0.7373871,0.60008,0.99839675
72,0.9166667,0.6738613,0.1473577,0.7063899,0.80004,0.97744197
73,0.8333333,0.6527977,0.14021784,0.8686936,1.0,0.9985807
74,1.0,0.8392814,0.0038591118,0.8686936,0.80004,0.99915427
75,1.0,0.86208725,0.00080990995,0.7063899,0.40012,0.98842347
76,0.8333333,0.824116,0.0035739823,0.0,0.40012,0.6768953
77,0.75,0.87875944,0.0007813069,0.7063899,0.60008,0.967574
78,0.8333333,0.86332613,0.003304463,0.6060807,0.80004,0.9602267
